Datetime,Temperature,FeelsLike,Dew,Humidity,Wind,WindSpeed,WindGust,Pressure,Precip.,Condition,Day/Night,Clouds
2014-01-02 11:00,27,13,21,78,NE,21,31,30.02,,Cloudy / Windy,D,OVC
2014-01-02 12:00,27,11,21,80,NE,25,31,29.95,0.0,Cloudy / Windy,D,OVC
2014-01-02 13:00,27,13,20,75,NE,21,26,29.93,0.0,Cloudy / Windy,D,OVC
2014-01-02 14:00,25,13,20,81,NNE,14,,29.88,0.0,Cloudy,D,OVC
2014-01-02 15:00,26,12,21,81,NE,21,26,29.86,0.0,Cloudy / Windy,D,OVC
2014-01-02 16:00,28,16,22,78,NE,17,26,29.85,0.0,Cloudy,D,OVC
2014-01-02 17:00,27,14,21,78,NE,20,30,29.82,,Cloudy,D,OVC
2014-01-02 18:00,26,13,19,75,NE,18,26,29.79,,Cloudy,N,OVC
2014-01-02 19:00,26,12,20,78,NE,21,28,29.77,0.0,Cloudy / Windy,N,OVC
2014-01-02 20:00,25,9,19,80,NE,24,31,29.74,0.0,Cloudy / Windy,N,OVC
2014-01-02 21:00,23,10,19,85,NNE,16,24,29.71,0.03,Cloudy,N,OVC
2014-01-02 22:00,21,6,17,85,NNE,18,26,29.69,0.05,Cloudy,N,OVC
2014-01-02 23:00,19,4,14,81,NE,17,25,29.68,0.04,Cloudy,N,OVC
2014-01-03 00:00,18,3,14,86,NNE,16,25,29.67,0.03,Cloudy,N,OVC
2014-01-03 00:00,18,2,14,84,NNE,18,25,29.67,0.04,Cloudy,N,OVC
2014-01-03 01:00,17,1,12,81,NNE,20,25,29.64,0.04,Cloudy,N,OVC
2014-01-03 02:00,14,-3,10,84,N,17,,29.62,0.03,Cloudy,N,OVC
2014-01-03 03:00,12,-7,7,80,N,23,31,29.64,0.03,Cloudy / Windy,N,OVC
2014-01-03 04:00,12,-6,8,84,N,20,29,29.68,0.01,Cloudy,N,OVC
2014-01-03 05:00,12,-6,8,84,N,18,29,29.72,0.02,Cloudy,N,OVC
2014-01-03 06:00,12,-7,8,84,NNW,23,28,29.76,0.01,Cloudy / Windy,N,OVC
2014-01-03 07:00,12,-7,7,80,NNW,23,32,29.81,0.0,Cloudy / Windy,N,OVC
2014-01-03 08:00,11,-6,6,81,NNW,17,26,29.88,0.0,Cloudy,N,OVC
2014-01-03 09:00,12,-8,6,77,NNW,24,29,29.93,0.0,Cloudy / Windy,D,OVC
2014-01-03 10:00,13,-4,6,74,NNW,17,23,29.99,0.0,Cloudy,D,OVC
2014-01-03 11:00,15,-1,6,68,NNW,17,22,30.02,0.0,Mostly Cloudy,D,BKN
2014-01-03 12:00,19,4,6,57,NNW,17,23,30.03,,Partly Cloudy,D,SCT
2014-01-03 13:00,18,4,5,57,NW,14,25,30.07,0.0,Partly Cloudy,D,SCT
2014-01-03 14:00,19,2,5,54,NW,22,,30.13,,Partly Cloudy / Windy,D,SCT
2014-01-03 15:00,19,2,4,52,NW,23,30,30.17,,Fair / Windy,D,FEW
2014-01-03 16:00,17,0,2,52,NW,22,29,30.21,,Fair / Windy,D,CLR
2014-01-03 17:00,16,-1,1,52,NNW,20,25,30.26,,Fair,D,CLR
2014-01-03 18:00,15,-2,-1,49,NW,18,29,30.33,,Fair,N,CLR
2014-01-03 19:00,15,1,-2,47,NW,14,22,30.37,,Fair,N,CLR
2014-01-03 20:00,14,-1,-3,47,NW,14,26,30.41,,Fair,N,CLR
2014-01-03 21:00,12,-4,-5,46,NNW,15,,30.43,,Fair,N,CLR
2014-01-03 22:00,13,0,-5,45,NW,10,,30.45,,Fair,N,CLR
2014-01-03 23:00,11,-3,-5,49,NNW,10,,30.45,,Fair,N,CLR
2014-01-04 00:00,10,-7,-3,56,NW,15,,30.44,,Fair,N,CLR
2014-01-04 01:00,10,-4,-4,53,NNW,10,,30.45,,Fair,N,CLR
2014-01-04 02:00,10,2,-3,56,NNW,5,,30.47,,Fair,N,CLR
2014-01-04 03:00,10,10,-4,53,CALM,,,30.47,,Fair,N,CLR
2014-01-04 04:00,11,11,-4,51,NNW,3,,30.47,,Fair,N,FEW
2014-01-04 05:00,11,11,-3,54,W,3,,30.47,,Fair,N,FEW
2014-01-04 06:00,11,11,-4,51,CALM,,,30.47,,Partly Cloudy,N,SCT
2014-01-04 07:00,12,3,1,61,SW,6,,30.5,,Mostly Cloudy,N,BKN
2014-01-04 08:00,13,4,1,59,SSW,6,,30.5,,Fair,N,FEW
2014-01-04 09:00,14,5,2,59,S,6,,30.5,,Fair,D,CLR
2014-01-04 10:00,17,9,1,50,WSW,6,,30.51,,Fair,D,CLR
2014-01-04 11:00,19,8,0,43,SSW,9,,30.48,,Fair,D,CLR
2014-01-04 12:00,21,11,-2,36,SSW,9,,30.44,,Fair,D,CLR
2014-01-04 13:00,22,13,0,38,SW,8,,30.41,,Fair,D,CLR
2014-01-04 14:00,23,14,0,37,SSW,8,,30.39,,Fair,D,CLR
2014-01-04 15:00,25,15,3,39,SSW,10,17,30.36,,Fair,D,FEW
2014-01-04 16:00,26,17,1,34,SSW,9,,30.36,,Partly Cloudy,D,SCT
2014-01-04 17:00,25,18,4,41,SSW,6,,30.32,,Partly Cloudy,D,SCT
2014-01-04 18:00,25,18,6,45,SSW,6,,30.32,,Mostly Cloudy,N,BKN
2014-01-04 19:00,26,21,8,47,SSW,5,,30.31,,Mostly Cloudy,N,BKN
2014-01-04 20:00,26,26,10,51,SW,3,,30.33,,Partly Cloudy,N,SCT
2014-01-04 21:00,27,19,11,51,SW,7,,30.31,,Partly Cloudy,N,SCT
2014-01-04 22:00,27,20,11,51,SW,6,,30.31,,Fair,N,FEW
2014-01-04 23:00,27,20,13,56,SW,6,,30.3,,Fair,N,FEW
2014-01-05 00:00,28,21,15,58,SSW,7,,30.29,,Fair,N,FEW
2014-01-05 01:00,27,22,15,61,SW,5,,30.26,,Fair,N,FEW
2014-01-05 02:00,27,20,16,63,SSW,6,,30.27,,Fair,N,CLR
2014-01-05 03:00,26,19,17,69,SSW,6,,30.28,,Fair,N,FEW
2014-01-05 04:00,27,27,18,69,CALM,,,30.26,,Fair,N,FEW
2014-01-05 05:00,26,26,18,71,CALM,,,30.26,,Partly Cloudy,N,SCT
2014-01-05 06:00,27,27,20,75,CALM,,,30.27,,Mostly Cloudy,N,BKN
2014-01-05 07:00,29,29,21,72,CALM,,,30.26,,Mostly Cloudy,N,BKN
2014-01-05 08:00,30,30,21,69,CALM,,,30.28,,Mostly Cloudy,N,BKN
2014-01-05 09:00,31,25,25,79,SSW,6,,30.29,0.0,Mostly Cloudy,D,BKN
2014-01-05 10:00,30,23,27,86,SSW,7,,30.3,0.0,Cloudy,D,OVC
2014-01-05 11:00,32,,28,85,SSW,3,,30.27,0.03,Cloudy,D,OVC
2014-01-05 12:00,31,24,28,89,NE,7,,30.23,0.01,Cloudy,D,OVC
2014-01-05 13:00,31,23,28,89,NE,9,,30.2,0.02,Cloudy,D,OVC
2014-01-05 14:00,32,24,29,88,NE,9,,30.18,0.0,Cloudy,D,OVC
2014-01-05 15:00,32,23,29,88,NE,12,,30.16,0.0,Cloudy,D,OVC
2014-01-05 16:00,34,26,30,85,ENE,10,,30.15,,Cloudy,D,OVC
2014-01-05 17:00,34,27,31,89,ENE,9,,30.11,,Cloudy,D,OVC
2014-01-05 18:00,34,27,,93,NNE,8,,30.09,,Cloudy,N,OVC
2014-01-05 19:00,35,29,33,92,NE,7,,30.05,,Cloudy,N,OVC
2014-01-05 20:00,35,29,34,96,NNE,8,,29.99,,Cloudy,N,OVC
2014-01-05 21:00,36,31,34,93,NE,6,,29.96,0.0,Cloudy,N,OVC
2014-01-05 22:00,36,30,35,97,ENE,8,,29.9,0.01,Cloudy,N,OVC
2014-01-05 23:00,37,37,36,96,CALM,,,29.82,,Cloudy,N,OVC
2014-01-06 00:00,48,42,48,100,SSE,16,25,29.75,,Cloudy,N,OVC
2014-01-06 00:00,50,50,48,93,SSE,16,,29.74,,Cloudy,N,OVC
2014-01-06 01:00,50,50,49,96,S,18,31,29.68,0.03,Cloudy,N,OVC
2014-01-06 02:00,50,50,49,96,S,16,24,29.65,0.02,Cloudy,N,OVC
2014-01-06 03:00,52,52,50,94,S,14,,29.61,,Cloudy,N,OVC
2014-01-06 04:00,50,50,48,93,S,10,,29.57,,Cloudy,N,OVC
2014-01-06 05:00,52,52,50,93,S,14,20,29.52,,Cloudy,N,OVC
2014-01-06 06:00,52,52,51,97,S,15,24,29.49,,Cloudy,N,OVC
2014-01-06 07:00,51,51,50,96,S,14,,29.44,0.01,Cloudy,N,OVC
2014-01-06 08:00,52,52,51,97,S,18,26,29.42,0.02,Cloudy,N,OVC
2014-01-06 09:00,51,51,50,96,S,14,20,29.39,0.06,Cloudy,D,OVC
2014-01-06 10:00,49,43,43,80,W,17,24,29.48,0.06,Cloudy,D,OVC
2014-01-06 11:00,48,44,41,77,WNW,8,17,29.44,0.08,Cloudy,D,OVC
2014-01-06 12:00,47,41,37,68,W,13,23,29.43,,Cloudy,D,OVC
2014-01-06 13:00,44,37,37,76,W,14,,29.43,0.01,Cloudy,D,OVC
2014-01-06 14:00,40,33,30,68,WSW,13,23,29.45,0.01,Cloudy,D,OVC
2014-01-06 15:00,41,33,29,62,W,15,,29.47,0.0,Cloudy,D,OVC
2014-01-06 16:00,40,31,28,63,WNW,16,23,29.47,,Cloudy,D,OVC
2014-01-06 17:00,39,30,22,50,NW,17,,29.5,,Cloudy,D,OVC
2014-01-06 18:00,37,27,19,48,NW,20,29,29.53,,Cloudy,N,OVC
2014-01-06 19:00,36,27,16,44,WNW,15,26,29.57,,Cloudy,N,OVC
2014-01-06 20:00,35,23,13,40,W,24,32,29.59,,Cloudy / Windy,N,OVC
2014-01-06 21:00,33,20,12,42,W,28,37,29.62,,Cloudy / Windy,N,OVC
2014-01-06 22:00,30,17,9,41,W,23,37,29.64,,Fair / Windy,N,FEW
2014-01-06 23:00,26,11,6,43,W,24,36,29.66,,Fair / Windy,N,FEW
2014-01-07 00:00,21,3,2,44,W,30,39,29.7,,Fair / Windy,N,FEW
2014-01-07 01:00,15,-4,-7,37,W,26,38,29.77,,Fair / Windy,N,FEW
2014-01-07 02:00,13,-7,-7,41,W,24,32,29.81,,Fair / Windy,N,CLR
2014-01-07 03:00,12,-7,-7,42,W,21,39,29.86,,Fair / Windy,N,CLR
2014-01-07 04:00,10,-10,-9,42,W,24,37,29.9,,Fair / Windy,N,CLR
2014-01-07 05:00,8,-13,-11,42,W,23,41,29.94,,Fair / Windy,N,CLR
2014-01-07 06:00,7,-16,-12,42,W,28,38,29.99,,Fair / Windy,N,CLR
2014-01-07 07:00,5,-18,-14,41,W,25,36,30.04,,Fair / Windy,N,FEW
2014-01-07 08:00,4,-17,-15,41,W,21,40,30.09,,Fair / Windy,N,FEW
2014-01-07 09:00,5,-16,-15,39,W,22,36,30.13,,Fair / Windy,D,FEW
2014-01-07 10:00,5,-18,-16,37,W,26,38,30.17,,Fair / Windy,D,FEW
2014-01-07 11:00,7,-13,-13,40,W,20,29,30.18,,Fair,D,FEW
2014-01-07 12:00,8,-11,-14,36,W,20,36,30.15,,Fair,D,FEW
2014-01-07 13:00,9,-10,-15,33,WNW,18,32,30.14,,Fair,D,FEW
2014-01-07 14:00,9,-10,-15,33,W,20,30,30.16,,Fair,D,FEW
2014-01-07 15:00,10,-8,-14,33,WSW,18,25,30.19,,Fair,D,FEW
2014-01-07 16:00,9,-11,-14,35,W,21,26,30.21,,Fair / Windy,D,FEW
2014-01-07 17:00,9,-10,-12,38,W,20,32,30.23,,Fair,D,FEW
2014-01-07 18:00,9,-10,-12,38,W,20,28,30.25,,Fair,N,FEW
2014-01-07 19:00,9,-10,-11,40,W,18,25,30.26,,Fair,N,CLR
2014-01-07 20:00,9,-8,-12,38,W,15,24,30.29,,Fair,N,CLR
2014-01-07 21:00,9,-8,-10,42,WSW,16,24,30.32,,Fair,N,CLR
2014-01-07 22:00,9,-11,-10,42,W,21,28,30.34,,Fair / Windy,N,CLR
2014-01-07 23:00,9,-9,-10,42,W,17,22,30.36,,Fair,N,CLR
2014-01-08 00:00,9,-9,-10,42,W,17,22,30.37,,Fair,N,CLR
2014-01-08 01:00,9,-7,-9,44,WSW,14,,30.39,,Fair,N,CLR
2014-01-08 02:00,10,-5,-7,46,W,13,22,30.4,,Fair,N,CLR
2014-01-08 03:00,10,-7,-7,46,W,15,25,30.42,,Fair,N,CLR
2014-01-08 04:00,10,-7,-7,46,W,16,22,30.43,,Fair,N,CLR
2014-01-08 05:00,10,-5,-5,51,W,12,18,30.45,,Fair,N,CLR
2014-01-08 06:00,10,-7,-5,51,WNW,15,24,30.44,,Fair,N,CLR
2014-01-08 07:00,10,-6,-5,51,WNW,14,23,30.46,,Fair,N,CLR
2014-01-08 08:00,9,-5,-7,48,WSW,10,,30.51,,Fair,N,FEW
2014-01-08 09:00,11,-3,-5,49,W,12,18,30.53,,Mostly Cloudy,D,BKN
2014-01-08 10:00,13,0,-4,47,WSW,10,,30.55,,Partly Cloudy,D,SCT
2014-01-08 11:00,14,3,-4,45,W,8,,30.52,,Fair,D,FEW
2014-01-08 12:00,17,7,-3,41,WNW,8,,30.47,,Mostly Cloudy,D,BKN
2014-01-08 13:00,18,8,-4,38,WSW,8,16,30.45,,Partly Cloudy,D,SCT
2014-01-08 14:00,20,9,-2,38,WSW,9,,30.45,,Mostly Cloudy,D,BKN
2014-01-08 15:00,21,8,-3,35,W,15,20,30.45,,Mostly Cloudy,D,BKN
2014-01-08 16:00,22,13,-1,37,W,8,,30.46,,Mostly Cloudy,D,BKN
2014-01-08 17:00,21,9,-1,38,W,13,,30.46,,Partly Cloudy,D,SCT
2014-01-08 18:00,20,9,-1,40,WSW,10,,30.47,,Partly Cloudy,N,SCT
2014-01-08 19:00,21,8,-2,36,W,14,21,30.49,,Mostly Cloudy,N,BKN
2014-01-08 20:00,21,9,-1,38,W,13,,30.49,,Mostly Cloudy,N,BKN
2014-01-08 21:00,22,12,-1,37,W,9,,30.5,,Mostly Cloudy,N,BKN
2014-01-08 22:00,22,12,-1,37,W,9,,30.5,,Cloudy,N,OVC
2014-01-08 23:00,23,12,-1,35,W,12,,30.49,,Cloudy,N,OVC
2014-01-09 00:00,23,14,1,39,W,8,,30.49,,Cloudy,N,OVC
2014-01-09 01:00,24,14,1,37,W,9,,30.48,,Cloudy,N,OVC
2014-01-09 02:00,24,15,1,37,W,8,,30.48,,Cloudy,N,OVC
2014-01-09 03:00,24,12,2,38,W,14,18,30.5,,Cloudy,N,OVC
2014-01-09 04:00,24,13,5,44,W,12,,30.51,,Mostly Cloudy,N,BKN
2014-01-09 05:00,24,14,9,53,WNW,9,,30.52,,Mostly Cloudy,N,BKN
2014-01-09 06:00,23,15,9,55,WNW,7,,30.54,,Partly Cloudy,N,SCT
2014-01-09 07:00,23,13,9,55,NW,9,,30.56,,Fair,N,FEW
2014-01-09 08:00,23,14,10,58,NW,8,,30.59,,Fair,N,FEW
2014-01-09 09:00,24,14,8,51,NW,10,,30.62,,Fair,D,FEW
2014-01-09 10:00,27,17,10,49,NNW,12,,30.63,,Fair,D,FEW
2014-01-09 11:00,27,17,8,45,NNW,12,,30.63,,Fair,D,FEW
2014-01-09 12:00,29,23,8,41,WNW,6,,30.6,,Fair,D,FEW
2014-01-09 13:00,31,31,7,37,VAR,3,,30.58,,Fair,D,FEW
2014-01-09 14:00,32,,7,35,CALM,,,30.57,,Fair,D,CLR
2014-01-09 15:00,33,33,6,32,CALM,,,30.58,,Fair,D,FEW
2014-01-09 16:00,32,,6,34,CALM,,,30.59,,Partly Cloudy,D,SCT
2014-01-09 17:00,31,26,9,40,SSE,5,,30.61,,Partly Cloudy,D,SCT
2014-01-09 19:00,29,24,11,47,SE,5,,30.62,,Partly Cloudy,N,SCT
2014-01-09 20:00,29,22,10,45,SE,7,,30.61,,Partly Cloudy,N,SCT
2014-01-09 21:00,29,21,11,47,SSE,8,,30.6,,Mostly Cloudy,N,BKN
2014-01-09 22:00,29,22,11,47,SE,7,,30.6,,Mostly Cloudy,N,BKN
2014-01-09 23:00,29,23,11,47,SE,6,,30.59,,Partly Cloudy,N,SCT
2014-01-10 00:00,29,29,13,51,SSE,3,,30.58,,Partly Cloudy,N,SCT
2014-01-10 01:00,27,27,15,61,ESE,3,,30.55,,Cloudy,N,OVC
2014-01-10 02:00,29,29,16,58,CALM,,,30.54,,Cloudy,N,OVC
2014-01-10 03:00,29,24,18,64,NE,5,,30.54,,Cloudy,N,OVC
2014-01-10 04:00,29,23,17,61,ENE,6,,30.53,,Cloudy,N,OVC
2014-01-10 05:00,29,21,18,64,ENE,8,,30.48,,Cloudy,N,OVC
2014-01-10 06:00,30,24,19,64,ENE,6,,30.48,,Cloudy,N,OVC
2014-01-10 07:00,30,25,18,61,ENE,5,,30.47,,Cloudy,N,OVC
2014-01-10 08:00,31,25,19,61,NE,6,,30.47,0.0,Cloudy,N,OVC
2014-01-10 09:00,30,23,21,69,NE,7,,30.48,0.0,Cloudy,D,OVC
2014-01-10 10:00,32,25,26,79,ENE,8,,30.48,0.05,Cloudy,D,OVC
2014-01-10 11:00,30,25,26,85,NNE,5,,30.46,0.05,Cloudy,D,OVC
2014-01-10 12:00,31,24,27,85,NE,7,,30.41,0.0,Cloudy,D,OVC
2014-01-10 13:00,32,27,28,85,NE,5,,30.38,,Cloudy,D,OVC
2014-01-10 14:00,32,26,29,88,NE,6,,30.36,,Cloudy,D,OVC
2014-01-10 15:00,32,27,29,88,NE,5,,30.35,0.0,Cloudy,D,OVC
2014-01-10 16:00,34,28,30,87,NE,7,,30.35,,Cloudy,D,OVC
2014-01-10 17:00,33,28,30,89,NE,6,,30.33,0.0,Cloudy,D,OVC
2014-01-10 18:00,33,29,31,92,NE,5,,30.32,0.01,Cloudy,N,OVC
2014-01-10 19:00,33,28,31,92,NE,6,,30.31,0.0,Cloudy,N,OVC
2014-01-10 20:00,34,27,,92,NE,8,,30.3,0.0,Cloudy,N,OVC
2014-01-10 21:00,34,27,,92,ENE,8,,30.28,0.01,Cloudy,N,OVC
2014-01-10 22:00,34,29,,92,NE,6,,30.26,0.0,Cloudy,N,OVC
2014-01-10 23:00,34,30,,92,ENE,5,,30.24,0.01,Cloudy,N,OVC
2014-01-11 00:00,34,29,,92,ENE,6,,30.2,0.0,Cloudy,N,OVC
2014-01-11 01:00,34,29,,92,ENE,6,,30.16,0.01,Cloudy,N,OVC
2014-01-11 02:00,34,29,,92,ENE,6,,30.13,0.01,Cloudy,N,OVC
2014-01-11 03:00,35,29,33,92,E,8,,30.08,0.05,Cloudy,N,OVC
2014-01-11 04:00,35,35,34,96,CALM,,,30.05,0.0,Cloudy,N,OVC
2014-01-11 05:00,36,36,35,97,NE,3,,30.0,0.0,Cloudy,N,OVC
2014-01-11 06:00,49,43,46,90,S,16,21,29.95,0.01,Cloudy,N,OVC
2014-01-11 07:00,49,45,46,90,S,9,,29.91,0.0,Cloudy,N,OVC
2014-01-11 08:00,51,51,49,92,S,15,22,29.88,0.02,Cloudy,N,OVC
2014-01-11 09:00,51,51,50,96,S,12,,29.86,0.01,Cloudy,D,OVC
2014-01-11 10:00,50,50,49,96,S,16,,29.82,0.01,Cloudy,D,OVC
2014-01-11 11:00,54,54,52,93,S,17,35,29.75,0.01,Cloudy,D,OVC
2014-01-11 12:00,53,53,51,93,S,18,36,29.67,0.0,Cloudy,D,OVC
2014-01-11 13:00,52,52,50,93,S,18,29,29.59,0.01,Cloudy,D,OVC
2014-01-11 14:00,54,54,52,93,S,20,24,29.54,0.06,Cloudy,D,OVC
2014-01-11 15:00,55,55,53,93,S,13,,29.47,0.0,Cloudy,D,OVC
2014-01-11 16:00,52,52,51,97,S,15,,29.44,0.0,Cloudy,D,OVC
2014-01-11 17:00,54,54,52,94,S,15,,29.43,0.0,Cloudy,D,OVC
2014-01-11 18:00,54,54,52,93,SW,9,,29.45,0.1,Cloudy,N,OVC
2014-01-11 19:00,55,55,52,89,WSW,10,,29.41,0.12,Cloudy,N,OVC
2014-01-11 20:00,55,55,52,89,SSW,8,,29.38,0.03,Cloudy,N,OVC
2014-01-11 21:00,53,53,51,93,SSE,16,,29.29,0.01,Cloudy,N,OVC
2014-01-11 22:00,54,54,52,93,SW,15,23,29.41,,Cloudy,N,OVC
2014-01-11 23:00,54,54,51,90,SW,13,18,29.4,0.0,Cloudy,N,OVC
2014-01-12 00:00,54,54,50,88,WSW,16,22,29.38,0.0,Cloudy,N,OVC
2014-01-12 00:00,54,54,49,83,WSW,13,23,29.37,0.0,Cloudy,N,OVC
2014-01-12 01:00,52,52,45,77,W,16,28,29.4,0.02,Cloudy,N,OVC
2014-01-12 02:00,51,51,39,63,W,13,22,29.42,0.0,Cloudy,N,OVC
2014-01-12 03:00,50,50,37,61,W,18,26,29.45,,Cloudy,N,OVC
2014-01-12 04:00,48,42,35,61,WNW,16,23,29.46,,Partly Cloudy,N,SCT
2014-01-12 05:00,46,40,33,61,WNW,15,23,29.5,,Partly Cloudy,N,SCT
2014-01-12 06:00,45,38,28,52,WNW,16,28,29.52,,Fair,N,FEW
2014-01-12 07:00,44,37,27,51,NW,14,,29.57,,Partly Cloudy,N,SCT
2014-01-12 08:00,44,37,27,51,WNW,15,,29.63,,Mostly Cloudy,N,BKN
2014-01-12 09:00,43,36,27,53,WNW,13,23,29.68,,Mostly Cloudy,D,BKN
2014-01-12 10:00,44,37,25,47,WNW,16,28,29.72,,Mostly Cloudy,D,BKN
2014-01-12 11:00,44,36,24,45,NW,21,36,29.74,,Mostly Cloudy / Windy,D,BKN
2014-01-12 12:00,43,34,26,51,NW,23,28,29.75,,Mostly Cloudy / Windy,D,BKN
2014-01-12 13:00,43,35,24,47,WNW,18,31,29.77,,Mostly Cloudy,D,BKN
2014-01-12 14:00,44,36,23,43,WNW,21,30,29.78,,Mostly Cloudy / Windy,D,BKN
2014-01-12 15:00,45,37,24,44,WNW,18,26,29.82,,Cloudy,D,OVC
2014-01-12 16:00,44,35,23,43,WNW,22,28,29.87,,Partly Cloudy / Windy,D,SCT
2014-01-12 17:00,44,39,25,47,WNW,10,,29.9,,Cloudy,D,OVC
2014-01-12 18:00,43,36,24,47,W,13,,29.94,,Fair,N,FEW
2014-01-12 19:00,42,35,24,49,W,13,21,29.98,,Fair,N,FEW
2014-01-12 20:00,41,34,25,53,W,13,21,29.99,,Fair,N,CLR
2014-01-12 21:00,40,33,25,55,W,13,,30.01,,Fair,N,CLR
2014-01-12 22:00,40,33,24,53,W,13,18,30.02,,Fair,N,CLR
2014-01-12 23:00,40,33,24,53,W,13,18,30.04,,Fair,N,CLR
2014-01-13 00:00,39,32,25,57,W,10,,30.05,,Fair,N,CLR
2014-01-13 01:00,38,31,25,60,SW,9,,30.06,,Fair,N,CLR
2014-01-13 02:00,38,31,25,60,SW,9,,30.08,,Fair,N,CLR
2014-01-13 03:00,38,34,25,60,WSW,5,,30.09,,Fair,N,CLR
2014-01-13 04:00,38,32,25,60,W,8,,30.09,,Fair,N,CLR
2014-01-13 05:00,37,33,26,65,SSW,5,,30.1,,Fair,N,CLR
2014-01-13 06:00,36,30,26,67,SSW,7,,30.11,,Fair,N,CLR
2014-01-13 07:00,35,29,27,72,S,7,,30.09,,Fair,N,CLR
2014-01-13 08:00,36,31,29,76,SSE,6,,30.11,,Fair,N,FEW
2014-01-13 09:00,39,34,29,67,S,7,,30.13,,Fair,D,FEW
2014-01-13 10:00,44,40,29,55,S,8,,30.12,,Partly Cloudy,D,SCT
2014-01-13 11:00,47,42,31,54,S,12,16,30.1,,Partly Cloudy,D,SCT
2014-01-13 12:00,48,42,35,61,S,14,21,30.05,,Mostly Cloudy,D,BKN
2014-01-13 13:00,48,43,37,66,S,13,,30.02,,Mostly Cloudy,D,BKN
2014-01-13 14:00,48,43,36,63,S,13,,30.0,,Cloudy,D,OVC
2014-01-13 15:00,47,41,36,66,SSE,15,,29.98,,Cloudy,D,OVC
2014-01-13 16:00,49,45,36,61,S,10,18,29.97,,Mostly Cloudy,D,BKN
2014-01-13 17:00,48,42,36,63,S,15,22,29.95,,Cloudy,D,OVC
2014-01-13 18:00,48,43,36,63,S,10,20,29.96,,Cloudy,D,OVC
2014-01-13 19:00,46,40,36,68,S,13,20,29.94,,Cloudy,N,OVC
2014-01-13 20:00,47,43,35,63,S,8,,29.93,,Cloudy,N,OVC
2014-01-13 21:00,46,42,36,68,S,8,,29.93,,Mostly Cloudy,N,BKN
2014-01-13 22:00,45,40,36,71,S,9,,29.92,,Mostly Cloudy,N,BKN
